Designator,Footprint,Quantity,Value,LCSC Part #
,3de8fe12-37a5-452a-bb1a-009fa3aa5af1,1,,
"C1, C10, C4, C8",0402,4,1u,C52923
"C11, C12, C13, C14, C15, C16, C5, C6, C7, C9",0402,10,100n,C1525
"C2, C3",0402,2,30p,C1570
"CN1, CN2, CN3, CN4",CONN-SMD_4P-P1.00_SM04B-SRSS-TB-LF-SN,4,SM04B-SRSS-TB (LF)(SN),C160404
"R1, R5",0402,2,1k,C11702
"R10, R11, R3, R4",0402,4,27,C138021
R2,0402,1,10k,C25744
"R6, R7",0402,2,5.1k,C25905
"SW18, SW19, SW20",KEY-SMD_K2-1177SW-A4DW-06,3,SW_Push,C92582
U1,USPQ-4B04_L1.0-W1.0-P0.65-BL-EP,1,TLV73333PDBV,C81114
U2,DFN-8_L3.0-W2.0-P0.50-BL-EP_XT25XXX,1,XT25F32FDTIGT,C7429719
U3,RP2040-QFN-56,1,RP2040,C2040
USB1,USB-C-SMD_GT-USB-9014AB,1,TYPE-C-31-M-12,C3019720
USB_HOST,USB-A-SMD_905-761A2022S10206,1,USB_A,C2763019
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,Crystal_GND24,C9002
